id,qid1,qid2,question1,question2,is_duplicate
440,1439,2439,Can I trust AI?,Is AI reliable?,1
441,1440,2440,How to use blockchain?,Steps to use blockchain,0
442,1441,2441,Difference between electric cars and vaccination?,How does electric cars differ from vaccination?,0
443,1442,2442,Benefits of AI?,What are the advantages of AI?,1
444,1443,2443,Drawbacks of Java?,Disadvantages of Java?,0
445,1444,2444,Why is blockchain important?,Significance of blockchain?,1
446,1445,2445,Drawbacks of electric cars?,Disadvantages of electric cars?,0
447,1446,2446,Benefits of vaccination?,What are the advantages of vaccination?,1
448,1447,2447,How to use smartphones?,Steps to use smartphones,0
449,1448,2448,Difference between vaccination and blockchain?,How does vaccination differ from blockchain?,0
450,1449,2449,Difference between Python and AI?,How does Python differ from AI?,0
451,1450,2450,Drawbacks of Python?,Disadvantages of Python?,0
452,1451,2451,What is the purpose of smartphones?,Why do we need smartphones?,1
453,1452,2452,Drawbacks of electric cars?,Disadvantages of electric cars?,1
454,1453,2453,What is the purpose of weight loss?,Why do we need weight loss?,0
455,1454,2454,Difference between vaccination and cloud computing?,How does vaccination differ from cloud computing?,1
456,1455,2455,Benefits of vaccination?,What are the advantages of vaccination?,1
457,1456,2456,What is the purpose of smartphones?,Why do we need smartphones?,1
458,1457,2457,How to use Java?,Steps to use Java,0
459,1458,2458,How do I learn Java?,Best way to learn Java,0
460,1459,2459,How do I learn Java?,Best way to learn Java,1
461,1460,2460,Difference between Java and AI?,How does Java differ from AI?,1
462,1461,2461,How do I learn weight loss?,Best way to learn weight loss,1
463,1462,2462,Why is cloud computing important?,Significance of cloud computing?,1
464,1463,2463,What is the purpose of Python?,Why do we need Python?,0
465,1464,2464,Why is blockchain important?,Significance of blockchain?,0
466,1465,2465,What is the purpose of vaccination?,Why do we need vaccination?,0
467,1466,2466,What is the purpose of cloud computing?,Why do we need cloud computing?,1
468,1467,2467,Can I trust vaccination?,Is vaccination reliable?,1
469,1468,2468,Why is Python important?,Significance of Python?,1
470,1469,2469,Can I trust vaccination?,Is vaccination reliable?,1
471,1470,2470,Drawbacks of blockchain?,Disadvantages of blockchain?,1
472,1471,2471,How do I learn cloud computing?,Best way to learn cloud computing,0
473,1472,2472,How to use Python?,Steps to use Python,0
474,1473,2473,What is cloud computing?,Explain cloud computing in simple terms,1
475,1474,2474,What is the purpose of weight loss?,Why do we need weight loss?,1
476,1475,2475,Can I trust cloud computing?,Is cloud computing reliable?,1
477,1476,2476,Can I trust AI?,Is AI reliable?,1
478,1477,2477,Benefits of Java?,What are the advantages of Java?,1
479,1478,2478,What is Java?,Explain Java in simple terms,0
480,1479,2479,How do I learn blockchain?,Best way to learn blockchain,1
481,1480,2480,Why is blockchain important?,Significance of blockchain?,1
482,1481,2481,What is machine learning?,Explain machine learning in simple terms,1
483,1482,2482,Difference between electric cars and Python?,How does electric cars differ from Python?,1
484,1483,2483,Why is weight loss important?,Significance of weight loss?,1
485,1484,2484,What is the future of Python?,How will Python evolve?,0
486,1485,2485,What is smartphones?,Explain smartphones in simple terms,1
487,1486,2486,What is the purpose of blockchain?,Why do we need blockchain?,0
488,1487,2487,How to use machine learning?,Steps to use machine learning,1
489,1488,2488,Can I trust AI?,Is AI reliable?,0
490,1489,2489,What is cloud computing?,Explain cloud computing in simple terms,1
491,1490,2490,Can I trust machine learning?,Is machine learning reliable?,1
492,1491,2491,Why is vaccination important?,Significance of vaccination?,0
493,1492,2492,What is the purpose of cloud computing?,Why do we need cloud computing?,0
494,1493,2493,How to use cloud computing?,Steps to use cloud computing,1
495,1494,2494,Can I trust vaccination?,Is vaccination reliable?,0
496,1495,2495,Why is AI important?,Significance of AI?,1
497,1496,2496,What is the purpose of Java?,Why do we need Java?,0
498,1497,2497,Drawbacks of electric cars?,Disadvantages of electric cars?,1
499,1498,2498,Why is Python important?,Significance of Python?,1
500,1499,2499,What is the future of cloud computing?,How will cloud computing evolve?,1
501,1500,2500,How do I learn Java?,Best way to learn Java,0
502,1501,2501,Why is cloud computing important?,Significance of cloud computing?,1
503,1502,2502,What is AI?,Explain AI in simple terms,1
504,1503,2503,How do I learn AI?,Best way to learn AI,0
505,1504,2504,How do I learn electric cars?,Best way to learn electric cars,1
506,1505,2505,Benefits of AI?,What are the advantages of AI?,1
507,1506,2506,Benefits of cloud computing?,What are the advantages of cloud computing?,1
508,1507,2507,Can I trust Java?,Is Java reliable?,1
509,1508,2508,Can I trust cloud computing?,Is cloud computing reliable?,0
510,1509,2509,Why is blockchain important?,Significance of blockchain?,0
511,1510,2510,What is vaccination?,Explain vaccination in simple terms,0
512,1511,2511,Can I trust cloud computing?,Is cloud computing reliable?,1
513,1512,2512,How do I learn electric cars?,Best way to learn electric cars,1
514,1513,2513,What is the future of AI?,How will AI evolve?,1
515,1514,2514,Can I trust blockchain?,Is blockchain reliable?,0
516,1515,2515,How to use smartphones?,Steps to use smartphones,1
517,1516,2516,Drawbacks of weight loss?,Disadvantages of weight loss?,1
518,1517,2517,How do I learn cloud computing?,Best way to learn cloud computing,1
519,1518,2518,What is the purpose of AI?,Why do we need AI?,0
520,1519,2519,What is the future of Python?,How will Python evolve?,1
521,1520,2520,Can I trust AI?,Is AI reliable?,1
522,1521,2521,What is the future of machine learning?,How will machine learning evolve?,1
523,1522,2522,Why is weight loss important?,Significance of weight loss?,1
524,1523,2523,Difference between Java and cloud computing?,How does Java differ from cloud computing?,0
525,1524,2524,How to use cloud computing?,Steps to use cloud computing,1
526,1525,2525,How to use smartphones?,Steps to use smartphones,0
527,1526,2526,How to use cloud computing?,Steps to use cloud computing,0
528,1527,2527,How do I learn Python?,Best way to learn Python,0
529,1528,2528,Benefits of machine learning?,What are the advantages of machine learning?,1
530,1529,2529,Why is Java important?,Significance of Java?,1
531,1530,2530,Drawbacks of machine learning?,Disadvantages of machine learning?,1
532,1531,2531,What is the future of Python?,How will Python evolve?,0
533,1532,2532,Drawbacks of vaccination?,Disadvantages of vaccination?,1
534,1533,2533,What is Python?,Explain Python in simple terms,0
535,1534,2534,What is machine learning?,Explain machine learning in simple terms,1
536,1535,2535,What is the purpose of blockchain?,Why do we need blockchain?,1
537,1536,2536,Drawbacks of vaccination?,Disadvantages of vaccination?,1
538,1537,2537,Drawbacks of machine learning?,Disadvantages of machine learning?,1
539,1538,2538,How to use vaccination?,Steps to use vaccination,0
540,1539,2539,What is AI?,Explain AI in simple terms,1
541,1540,2540,Benefits of machine learning?,What are the advantages of machine learning?,1
542,1541,2541,What is the purpose of AI?,Why do we need AI?,0
543,1542,2542,What is the future of electric cars?,How will electric cars evolve?,1
544,1543,2543,Benefits of vaccination?,What are the advantages of vaccination?,1
545,1544,2544,Can I trust weight loss?,Is weight loss reliable?,0
546,1545,2545,Can I trust vaccination?,Is vaccination reliable?,0
547,1546,2546,What is the purpose of Python?,Why do we need Python?,1
548,1547,2547,What is the future of AI?,How will AI evolve?,0
549,1548,2548,What is the purpose of blockchain?,Why do we need blockchain?,1
550,1549,2549,What is the purpose of electric cars?,Why do we need electric cars?,0
551,1550,2550,Benefits of machine learning?,What are the advantages of machine learning?,0
552,1551,2551,Difference between blockchain and weight loss?,How does blockchain differ from weight loss?,0
553,1552,2552,How do I learn cloud computing?,Best way to learn cloud computing,0
554,1553,2553,Difference between electric cars and cloud computing?,How does electric cars differ from cloud computing?,1
555,1554,2554,Drawbacks of smartphones?,Disadvantages of smartphones?,0
556,1555,2555,What is the future of Python?,How will Python evolve?,1
557,1556,2556,What is vaccination?,Explain vaccination in simple terms,0
558,1557,2557,Why is Python important?,Significance of Python?,0
559,1558,2558,What is the future of blockchain?,How will blockchain evolve?,0
560,1559,2559,Why is weight loss important?,Significance of weight loss?,1
561,1560,2560,Why is weight loss important?,Significance of weight loss?,1
562,1561,2561,How do I learn Python?,Best way to learn Python,0
563,1562,2562,Benefits of AI?,What are the advantages of AI?,1
564,1563,2563,Can I trust Java?,Is Java reliable?,0
565,1564,2564,What is the future of smartphones?,How will smartphones evolve?,1
566,1565,2565,What is the future of blockchain?,How will blockchain evolve?,0
567,1566,2566,Why is Python important?,Significance of Python?,0
568,1567,2567,Benefits of weight loss?,What are the advantages of weight loss?,0
569,1568,2568,What is smartphones?,Explain smartphones in simple terms,1
570,1569,2569,Why is electric cars important?,Significance of electric cars?,1
571,1570,2570,How do I learn weight loss?,Best way to learn weight loss,0
572,1571,2571,How do I learn blockchain?,Best way to learn blockchain,1
573,1572,2572,Benefits of weight loss?,What are the advantages of weight loss?,1
574,1573,2573,How do I learn smartphones?,Best way to learn smartphones,1
575,1574,2574,What is Java?,Explain Java in simple terms,0
576,1575,2575,How to use weight loss?,Steps to use weight loss,1
577,1576,2576,Can I trust machine learning?,Is machine learning reliable?,1
578,1577,2577,How do I learn weight loss?,Best way to learn weight loss,0
579,1578,2578,Drawbacks of electric cars?,Disadvantages of electric cars?,0
580,1579,2579,Can I trust cloud computing?,Is cloud computing reliable?,0
581,1580,2580,Can I trust electric cars?,Is electric cars reliable?,0
582,1581,2581,What is the purpose of weight loss?,Why do we need weight loss?,1
583,1582,2582,Benefits of Python?,What are the advantages of Python?,0
584,1583,2583,How do I learn AI?,Best way to learn AI,0
585,1584,2584,How to use smartphones?,Steps to use smartphones,0
586,1585,2585,What is the future of electric cars?,How will electric cars evolve?,1
587,1586,2586,What is the future of Python?,How will Python evolve?,1
588,1587,2587,How to use cloud computing?,Steps to use cloud computing,1
589,1588,2588,What is the future of Python?,How will Python evolve?,0
590,1589,2589,How to use Java?,Steps to use Java,1
591,1590,2590,Can I trust AI?,Is AI reliable?,1
592,1591,2591,How to use AI?,Steps to use AI,1
593,1592,2592,What is the purpose of cloud computing?,Why do we need cloud computing?,1
594,1593,2593,What is the purpose of weight loss?,Why do we need weight loss?,1
595,1594,2594,Drawbacks of AI?,Disadvantages of AI?,1
596,1595,2595,How to use smartphones?,Steps to use smartphones,1
597,1596,2596,What is the future of AI?,How will AI evolve?,0
598,1597,2597,Why is cloud computing important?,Significance of cloud computing?,1
599,1598,2598,Difference between weight loss and AI?,How does weight loss differ from AI?,1
600,1599,2599,How to use weight loss?,Steps to use weight loss,0
601,1600,2600,Can I trust vaccination?,Is vaccination reliable?,1
602,1601,2601,Difference between blockchain and electric cars?,How does blockchain differ from electric cars?,1
603,1602,2602,Benefits of machine learning?,What are the advantages of machine learning?,1
604,1603,2603,What is the future of AI?,How will AI evolve?,0
605,1604,2604,How do I learn electric cars?,Best way to learn electric cars,1
606,1605,2605,Why is electric cars important?,Significance of electric cars?,0
607,1606,2606,How to use smartphones?,Steps to use smartphones,1
608,1607,2607,What is the purpose of vaccination?,Why do we need vaccination?,1
609,1608,2608,What is the purpose of electric cars?,Why do we need electric cars?,1
610,1609,2609,Drawbacks of weight loss?,Disadvantages of weight loss?,1
611,1610,2610,Why is blockchain important?,Significance of blockchain?,0
612,1611,2611,Difference between electric cars and Python?,How does electric cars differ from Python?,0
613,1612,2612,How to use blockchain?,Steps to use blockchain,0
614,1613,2613,Difference between electric cars and cloud computing?,How does electric cars differ from cloud computing?,1
615,1614,2614,Why is blockchain important?,Significance of blockchain?,1
616,1615,2615,Benefits of cloud computing?,What are the advantages of cloud computing?,1
617,1616,2616,How do I learn smartphones?,Best way to learn smartphones,1
618,1617,2617,Drawbacks of machine learning?,Disadvantages of machine learning?,1
619,1618,2618,Drawbacks of smartphones?,Disadvantages of smartphones?,0
620,1619,2619,How do I learn Java?,Best way to learn Java,0
621,1620,2620,Difference between electric cars and AI?,How does electric cars differ from AI?,1
622,1621,2621,What is the future of vaccination?,How will vaccination evolve?,1
623,1622,2622,Difference between smartphones and cloud computing?,How does smartphones differ from cloud computing?,0
624,1623,2623,How to use Python?,Steps to use Python,0
625,1624,2624,What is the purpose of weight loss?,Why do we need weight loss?,1
626,1625,2625,How do I learn weight loss?,Best way to learn weight loss,1
627,1626,2626,What is the future of electric cars?,How will electric cars evolve?,1
628,1627,2627,How to use electric cars?,Steps to use electric cars,1
629,1628,2628,Why is blockchain important?,Significance of blockchain?,1
630,1629,2629,How do I learn weight loss?,Best way to learn weight loss,1
631,1630,2630,Can I trust weight loss?,Is weight loss reliable?,0
632,1631,2631,Can I trust AI?,Is AI reliable?,0
633,1632,2632,Difference between electric cars and smartphones?,How does electric cars differ from smartphones?,1
634,1633,2633,What is the future of machine learning?,How will machine learning evolve?,1
635,1634,2634,Why is blockchain important?,Significance of blockchain?,0
636,1635,2635,What is the future of machine learning?,How will machine learning evolve?,1
637,1636,2636,Why is cloud computing important?,Significance of cloud computing?,0
638,1637,2637,What is the purpose of machine learning?,Why do we need machine learning?,0
639,1638,2638,Drawbacks of machine learning?,Disadvantages of machine learning?,0
640,1639,2639,Drawbacks of blockchain?,Disadvantages of blockchain?,1
641,1640,2640,What is the future of AI?,How will AI evolve?,0
642,1641,2641,Why is vaccination important?,Significance of vaccination?,0
643,1642,2642,Can I trust AI?,Is AI reliable?,1
644,1643,2643,How to use Java?,Steps to use Java,1
645,1644,2644,How do I learn smartphones?,Best way to learn smartphones,0
646,1645,2645,What is cloud computing?,Explain cloud computing in simple terms,1
647,1646,2646,What is the future of blockchain?,How will blockchain evolve?,1
648,1647,2647,Can I trust electric cars?,Is electric cars reliable?,1
649,1648,2648,How to use Java?,Steps to use Java,1
650,1649,2649,Why is electric cars important?,Significance of electric cars?,0
651,1650,2650,What is AI?,Explain AI in simple terms,1
652,1651,2651,What is the purpose of AI?,Why do we need AI?,0
653,1652,2652,Difference between blockchain and smartphones?,How does blockchain differ from smartphones?,0
654,1653,2653,Why is blockchain important?,Significance of blockchain?,1
655,1654,2654,Difference between electric cars and Python?,How does electric cars differ from Python?,0
656,1655,2655,Can I trust weight loss?,Is weight loss reliable?,0
657,1656,2656,What is the future of vaccination?,How will vaccination evolve?,0
658,1657,2657,How do I learn vaccination?,Best way to learn vaccination,1
659,1658,2658,What is AI?,Explain AI in simple terms,1
660,1659,2659,Difference between electric cars and Java?,How does electric cars differ from Java?,1
661,1660,2660,Drawbacks of vaccination?,Disadvantages of vaccination?,0
662,1661,2661,Why is vaccination important?,Significance of vaccination?,1
663,1662,2662,What is Python?,Explain Python in simple terms,1
664,1663,2663,What is weight loss?,Explain weight loss in simple terms,0
665,1664,2664,What is the purpose of Java?,Why do we need Java?,1
666,1665,2665,How do I learn weight loss?,Best way to learn weight loss,1
667,1666,2666,What is AI?,Explain AI in simple terms,1
668,1667,2667,What is the purpose of machine learning?,Why do we need machine learning?,0
669,1668,2668,Drawbacks of machine learning?,Disadvantages of machine learning?,0
670,1669,2669,Difference between vaccination and cloud computing?,How does vaccination differ from cloud computing?,1
671,1670,2670,Drawbacks of machine learning?,Disadvantages of machine learning?,0
672,1671,2671,Drawbacks of AI?,Disadvantages of AI?,1
673,1672,2672,What is vaccination?,Explain vaccination in simple terms,1
674,1673,2673,What is the future of smartphones?,How will smartphones evolve?,1
675,1674,2674,Benefits of smartphones?,What are the advantages of smartphones?,1
676,1675,2675,What is AI?,Explain AI in simple terms,1
677,1676,2676,How to use Python?,Steps to use Python,1
678,1677,2677,Drawbacks of Python?,Disadvantages of Python?,0
679,1678,2678,What is the purpose of cloud computing?,Why do we need cloud computing?,1
680,1679,2679,Drawbacks of vaccination?,Disadvantages of vaccination?,0
681,1680,2680,What is Java?,Explain Java in simple terms,1
682,1681,2681,Why is electric cars important?,Significance of electric cars?,1
683,1682,2682,What is the purpose of machine learning?,Why do we need machine learning?,0
684,1683,2683,What is electric cars?,Explain electric cars in simple terms,1
685,1684,2684,Difference between weight loss and Python?,How does weight loss differ from Python?,1
686,1685,2685,Drawbacks of Java?,Disadvantages of Java?,1
687,1686,2686,Why is Java important?,Significance of Java?,1
688,1687,2687,Can I trust cloud computing?,Is cloud computing reliable?,1
689,1688,2688,Benefits of cloud computing?,What are the advantages of cloud computing?,0
690,1689,2689,Benefits of AI?,What are the advantages of AI?,1
691,1690,2690,How to use Java?,Steps to use Java,0
692,1691,2691,What is blockchain?,Explain blockchain in simple terms,1
693,1692,2692,How to use blockchain?,Steps to use blockchain,0
694,1693,2693,How do I learn Python?,Best way to learn Python,0
695,1694,2694,Drawbacks of electric cars?,Disadvantages of electric cars?,1
696,1695,2695,Why is weight loss important?,Significance of weight loss?,1
697,1696,2696,Why is blockchain important?,Significance of blockchain?,1
698,1697,2697,What is weight loss?,Explain weight loss in simple terms,1
699,1698,2698,Difference between weight loss and AI?,How does weight loss differ from AI?,1
700,1699,2699,Can I trust Python?,Is Python reliable?,1
701,1700,2700,Can I trust AI?,Is AI reliable?,1
702,1701,2701,What is weight loss?,Explain weight loss in simple terms,0
703,1702,2702,What is the future of cloud computing?,How will cloud computing evolve?,0
704,1703,2703,What is machine learning?,Explain machine learning in simple terms,0
705,1704,2704,What is the purpose of machine learning?,Why do we need machine learning?,1
706,1705,2705,How do I learn electric cars?,Best way to learn electric cars,0
707,1706,2706,How do I learn machine learning?,Best way to learn machine learning,0
708,1707,2707,Drawbacks of blockchain?,Disadvantages of blockchain?,1
709,1708,2708,What is the purpose of Java?,Why do we need Java?,0
710,1709,2709,What is the purpose of AI?,Why do we need AI?,0
711,1710,2710,What is the future of Python?,How will Python evolve?,1
712,1711,2711,Why is smartphones important?,Significance of smartphones?,1
713,1712,2712,What is the future of vaccination?,How will vaccination evolve?,0
714,1713,2713,Benefits of smartphones?,What are the advantages of smartphones?,1
715,1714,2714,Benefits of vaccination?,What are the advantages of vaccination?,1
716,1715,2715,What is smartphones?,Explain smartphones in simple terms,1
717,1716,2716,How to use electric cars?,Steps to use electric cars,0
718,1717,2717,What is the future of blockchain?,How will blockchain evolve?,1
719,1718,2718,Why is cloud computing important?,Significance of cloud computing?,1
720,1719,2719,Can I trust weight loss?,Is weight loss reliable?,0
721,1720,2720,What is the future of Python?,How will Python evolve?,0
722,1721,2721,Can I trust cloud computing?,Is cloud computing reliable?,0
723,1722,2722,What is the future of vaccination?,How will vaccination evolve?,1
724,1723,2723,What is the purpose of AI?,Why do we need AI?,0
725,1724,2724,What is machine learning?,Explain machine learning in simple terms,1
726,1725,2725,Can I trust blockchain?,Is blockchain reliable?,1
727,1726,2726,What is the future of weight loss?,How will weight loss evolve?,1
728,1727,2727,Benefits of cloud computing?,What are the advantages of cloud computing?,1
729,1728,2728,Difference between AI and smartphones?,How does AI differ from smartphones?,1
730,1729,2729,Benefits of vaccination?,What are the advantages of vaccination?,0
731,1730,2730,How do I learn machine learning?,Best way to learn machine learning,0
732,1731,2731,How do I learn machine learning?,Best way to learn machine learning,1
733,1732,2732,Difference between electric cars and cloud computing?,How does electric cars differ from cloud computing?,0
734,1733,2733,Difference between Python and vaccination?,How does Python differ from vaccination?,0
735,1734,2734,What is the future of Python?,How will Python evolve?,0
736,1735,2735,How do I learn blockchain?,Best way to learn blockchain,1
737,1736,2736,Difference between Python and blockchain?,How does Python differ from blockchain?,0
738,1737,2737,What is the purpose of machine learning?,Why do we need machine learning?,0
739,1738,2738,Drawbacks of electric cars?,Disadvantages of electric cars?,1
740,1739,2739,Why is Java important?,Significance of Java?,1
741,1740,2740,What is the future of electric cars?,How will electric cars evolve?,0
742,1741,2741,Can I trust blockchain?,Is blockchain reliable?,1
743,1742,2742,How to use AI?,Steps to use AI,0
744,1743,2743,What is weight loss?,Explain weight loss in simple terms,1
745,1744,2744,What is the future of Python?,How will Python evolve?,1
746,1745,2745,Benefits of Java?,What are the advantages of Java?,1
747,1746,2746,What is the purpose of Python?,Why do we need Python?,0
748,1747,2747,Can I trust cloud computing?,Is cloud computing reliable?,1
749,1748,2748,Can I trust blockchain?,Is blockchain reliable?,0
750,1749,2749,Drawbacks of vaccination?,Disadvantages of vaccination?,0
751,1750,2750,What is the future of vaccination?,How will vaccination evolve?,1
752,1751,2751,How do I learn Python?,Best way to learn Python,0
753,1752,2752,What is the future of blockchain?,How will blockchain evolve?,1
754,1753,2753,Why is electric cars important?,Significance of electric cars?,0
755,1754,2754,Drawbacks of vaccination?,Disadvantages of vaccination?,0
756,1755,2755,What is the future of cloud computing?,How will cloud computing evolve?,0
757,1756,2756,How to use Java?,Steps to use Java,1
758,1757,2757,How do I learn Python?,Best way to learn Python,1
759,1758,2758,Can I trust weight loss?,Is weight loss reliable?,0
760,1759,2759,Difference between smartphones and AI?,How does smartphones differ from AI?,1
761,1760,2760,Difference between Java and blockchain?,How does Java differ from blockchain?,1
762,1761,2761,Why is electric cars important?,Significance of electric cars?,0
763,1762,2762,Benefits of Java?,What are the advantages of Java?,1
764,1763,2763,Benefits of Python?,What are the advantages of Python?,1
765,1764,2764,Can I trust vaccination?,Is vaccination reliable?,1
766,1765,2765,Can I trust weight loss?,Is weight loss reliable?,1
767,1766,2766,Why is Python important?,Significance of Python?,1
768,1767,2767,How do I learn Python?,Best way to learn Python,1
769,1768,2768,Benefits of Python?,What are the advantages of Python?,0
770,1769,2769,How do I learn Java?,Best way to learn Java,0
771,1770,2770,Difference between AI and vaccination?,How does AI differ from vaccination?,1
772,1771,2771,What is the future of vaccination?,How will vaccination evolve?,0
773,1772,2772,Why is blockchain important?,Significance of blockchain?,1
774,1773,2773,Why is blockchain important?,Significance of blockchain?,1
775,1774,2774,Benefits of Java?,What are the advantages of Java?,1
776,1775,2775,How do I learn machine learning?,Best way to learn machine learning,1
777,1776,2776,Can I trust AI?,Is AI reliable?,1
778,1777,2777,How to use machine learning?,Steps to use machine learning,0
779,1778,2778,How do I learn weight loss?,Best way to learn weight loss,1
780,1779,2779,Drawbacks of AI?,Disadvantages of AI?,1
781,1780,2780,How do I learn cloud computing?,Best way to learn cloud computing,0
782,1781,2781,How do I learn cloud computing?,Best way to learn cloud computing,1
783,1782,2782,What is the future of Python?,How will Python evolve?,0
784,1783,2783,Why is Java important?,Significance of Java?,0
785,1784,2784,Difference between Java and AI?,How does Java differ from AI?,1
786,1785,2785,What is weight loss?,Explain weight loss in simple terms,1
787,1786,2786,Benefits of cloud computing?,What are the advantages of cloud computing?,0
788,1787,2787,Why is machine learning important?,Significance of machine learning?,1
789,1788,2788,Difference between Python and cloud computing?,How does Python differ from cloud computing?,1
790,1789,2789,Drawbacks of vaccination?,Disadvantages of vaccination?,1
791,1790,2790,Why is smartphones important?,Significance of smartphones?,0
792,1791,2791,Difference between machine learning and cloud computing?,How does machine learning differ from cloud computing?,0
793,1792,2792,What is the purpose of vaccination?,Why do we need vaccination?,1
794,1793,2793,Can I trust cloud computing?,Is cloud computing reliable?,1
795,1794,2794,Why is cloud computing important?,Significance of cloud computing?,0
796,1795,2795,Benefits of electric cars?,What are the advantages of electric cars?,1
797,1796,2796,What is cloud computing?,Explain cloud computing in simple terms,0
798,1797,2797,What is weight loss?,Explain weight loss in simple terms,0
799,1798,2798,What is the purpose of Python?,Why do we need Python?,1
800,1799,2799,Can I trust cloud computing?,Is cloud computing reliable?,0
801,1800,2800,Can I trust vaccination?,Is vaccination reliable?,1
802,1801,2801,Drawbacks of weight loss?,Disadvantages of weight loss?,0
803,1802,2802,How to use cloud computing?,Steps to use cloud computing,0
804,1803,2803,How to use electric cars?,Steps to use electric cars,1
805,1804,2804,Drawbacks of Python?,Disadvantages of Python?,1
806,1805,2805,How to use weight loss?,Steps to use weight loss,0
807,1806,2806,Difference between Python and smartphones?,How does Python differ from smartphones?,1
808,1807,2807,Can I trust smartphones?,Is smartphones reliable?,1
809,1808,2808,How do I learn weight loss?,Best way to learn weight loss,1
810,1809,2809,What is Python?,Explain Python in simple terms,1
811,1810,2810,Why is blockchain important?,Significance of blockchain?,1
812,1811,2811,What is vaccination?,Explain vaccination in simple terms,0
813,1812,2812,Can I trust weight loss?,Is weight loss reliable?,1
814,1813,2813,Difference between Java and smartphones?,How does Java differ from smartphones?,1
815,1814,2814,Drawbacks of electric cars?,Disadvantages of electric cars?,1
816,1815,2815,How do I learn electric cars?,Best way to learn electric cars,1
817,1816,2816,Difference between weight loss and Java?,How does weight loss differ from Java?,1
818,1817,2817,How to use cloud computing?,Steps to use cloud computing,1
819,1818,2818,Difference between Java and electric cars?,How does Java differ from electric cars?,0
820,1819,2819,What is the future of Python?,How will Python evolve?,0
821,1820,2820,How to use AI?,Steps to use AI,1
822,1821,2821,Can I trust vaccination?,Is vaccination reliable?,0
823,1822,2822,Drawbacks of smartphones?,Disadvantages of smartphones?,1
824,1823,2823,What is the purpose of blockchain?,Why do we need blockchain?,1
825,1824,2824,How do I learn weight loss?,Best way to learn weight loss,1
826,1825,2825,Can I trust Python?,Is Python reliable?,0
827,1826,2826,Drawbacks of AI?,Disadvantages of AI?,0
828,1827,2827,What is the purpose of cloud computing?,Why do we need cloud computing?,1
829,1828,2828,What is the future of cloud computing?,How will cloud computing evolve?,0
830,1829,2829,Benefits of Java?,What are the advantages of Java?,1
831,1830,2830,What is the future of weight loss?,How will weight loss evolve?,1
832,1831,2831,What is the purpose of electric cars?,Why do we need electric cars?,0
833,1832,2832,What is the future of smartphones?,How will smartphones evolve?,1
834,1833,2833,What is blockchain?,Explain blockchain in simple terms,1
835,1834,2834,How do I learn Java?,Best way to learn Java,0
836,1835,2835,Drawbacks of vaccination?,Disadvantages of vaccination?,1
837,1836,2836,How to use cloud computing?,Steps to use cloud computing,1
838,1837,2837,Can I trust vaccination?,Is vaccination reliable?,1
839,1838,2838,What is the purpose of smartphones?,Why do we need smartphones?,1
840,1839,2839,How do I learn smartphones?,Best way to learn smartphones,1
841,1840,2840,How do I learn blockchain?,Best way to learn blockchain,0
842,1841,2841,How do I learn blockchain?,Best way to learn blockchain,1
843,1842,2842,Difference between Python and electric cars?,How does Python differ from electric cars?,1
844,1843,2843,Why is electric cars important?,Significance of electric cars?,1
845,1844,2844,What is the purpose of machine learning?,Why do we need machine learning?,1
846,1845,2845,Benefits of vaccination?,What are the advantages of vaccination?,1
847,1846,2846,What is smartphones?,Explain smartphones in simple terms,0
848,1847,2847,Can I trust Java?,Is Java reliable?,1
849,1848,2848,Benefits of machine learning?,What are the advantages of machine learning?,1
850,1849,2849,What is the future of AI?,How will AI evolve?,0
851,1850,2850,How to use Java?,Steps to use Java,1
852,1851,2851,Why is blockchain important?,Significance of blockchain?,1
853,1852,2852,Difference between AI and electric cars?,How does AI differ from electric cars?,1
854,1853,2853,How do I learn AI?,Best way to learn AI,0
855,1854,2854,Can I trust Python?,Is Python reliable?,1
856,1855,2855,Why is machine learning important?,Significance of machine learning?,1
857,1856,2856,Drawbacks of smartphones?,Disadvantages of smartphones?,0
858,1857,2857,What is the purpose of cloud computing?,Why do we need cloud computing?,0
859,1858,2858,What is Java?,Explain Java in simple terms,0
860,1859,2859,Drawbacks of cloud computing?,Disadvantages of cloud computing?,0
861,1860,2860,What is weight loss?,Explain weight loss in simple terms,1
862,1861,2861,Difference between smartphones and machine learning?,How does smartphones differ from machine learning?,1
863,1862,2862,Why is AI important?,Significance of AI?,1
864,1863,2863,What is the future of cloud computing?,How will cloud computing evolve?,0
865,1864,2864,What is the future of machine learning?,How will machine learning evolve?,0
866,1865,2865,How to use Java?,Steps to use Java,1
867,1866,2866,How do I learn blockchain?,Best way to learn blockchain,0
868,1867,2867,How to use machine learning?,Steps to use machine learning,1
869,1868,2868,Difference between machine learning and weight loss?,How does machine learning differ from weight loss?,1
870,1869,2869,Drawbacks of smartphones?,Disadvantages of smartphones?,0
871,1870,2870,What is the purpose of electric cars?,Why do we need electric cars?,1
872,1871,2871,How to use weight loss?,Steps to use weight loss,0
873,1872,2872,How to use cloud computing?,Steps to use cloud computing,1
874,1873,2873,Difference between smartphones and cloud computing?,How does smartphones differ from cloud computing?,1
875,1874,2874,What is the future of blockchain?,How will blockchain evolve?,1
876,1875,2875,What is machine learning?,Explain machine learning in simple terms,1
877,1876,2876,How to use AI?,Steps to use AI,1
878,1877,2877,Benefits of vaccination?,What are the advantages of vaccination?,0
